transaction_id,customer_id,branch_id,transaction_amount,investment_amount,total_balance,firm_revenue,expenses,profit_margin,account_type,investment_type,customer_type,age,transaction_date,city,region,bank_name,city_branch,region_branch
300000,209689,1928,4794.0,42580,69339,339233.0,477740,65.87,Business,Fixed Deposit,Individual,68.0,2024-12-08,Nashik,North,HDFC Bank,Nashik,North
300001,206124,1132,3500.0,46605,12825,83336.0,335733,47.84,Business,Fixed Deposit,Business,45.0,2022-09-09,Kolhapur,North,HDFC Bank,Kolhapur,West
300002,207501,1690,2401.0,17027,67753,833490.0,416070,50.07,Current,Fixed Deposit,Employee,62.0,2022-04-28,Solapur,West,HDFC Bank,Nashik,North
300003,208675,1032,2952.0,3054,67061,722489.0,127639,53.12,Savings,Fixed Deposit,Unknown,49.0,2023-05-22,Mumbai,North,HDFC Bank,Nashik,North
300004,204923,1653,1025.0,44937,8566,147907.0,80983,17.93,Business,Fixed Deposit,Individual,52.0,2023-04-05,Mumbai,West,HDFC Bank,Nashik,East
300005,208422,1750,3685.0,31763,99584,391800.0,351826,95.84,Business,Fixed Deposit,Individual,39.0,2023-03-02,Mumbai,East,HDFC Bank,Pune,North
300006,200086,1226,2343.0,26793,88497,404512.0,314309,87.43,Savings,Recurring Deposit,Individual,49.0,2022-10-23,Mumbai,North,HDFC Bank,Solapur,South
300007,204484,1733,1985.0,3709,20803,557998.0,338981,-27.19,Savings,Fixed Deposit,Employee,63.0,2022-08-27,Mumbai,South,HDFC Bank,Solapur,North
300008,201643,1893,5224.0,45985,60911,518348.5,145030,52.7,Business,Recurring Deposit,Business,76.0,2025-02-04,Nashik,North,HDFC Bank,Kolhapur,East
300009,208910,1210,3714.0,38111,35489,178363.0,164014,80.09,Business,Fixed Deposit,Individual,22.0,2024-07-15,Pune,South,HDFC Bank,Nagpur,South
300010,204832,1865,3689.0,4968,40289,391943.0,423188,-24.97,Savings,Recurring Deposit,Individual,44.0,2022-08-03,Solapur,North,HDFC Bank,Kolhapur,West
300011,202229,1389,3885.0,2633,19167,273275.0,234513,48.59,Savings,Mutual Fund,Individual,30.0,2024-09-23,Nagpur,South,HDFC Bank,Pune,West
300012,202469,1508,997.0,9228,96671,698309.0,159788,-48.47,Current,Recurring Deposit,Employee,58.0,2024-01-05,Kolhapur,East,HDFC Bank,Pune,South
300013,206596,1400,3675.0,31008,91612,358287.0,117596,-41.69,Business,Mutual Fund,Employee,29.0,2022-05-09,Kolhapur,South,HDFC Bank,Kolhapur,West
300014,202248,1569,1516.0,24178,79733,237225.0,129997,-43.11,Savings,Mutual Fund,Individual,59.0,2022-05-06,Mumbai,East,HDFC Bank,Nashik,South
300015,200582,1676,4788.0,22052,17467,211475.0,407180,66.32,Savings,Recurring Deposit,Unknown,69.0,2022-08-13,Kolhapur,South,HDFC Bank,Mumbai,East
300016,204119,1030,1971.0,43970,55313,950410.0,483008,-2.32,Current,Mutual Fund,Business,72.0,2023-02-23,Mumbai,South,HDFC Bank,Pune,East
300017,200872,1705,2483.0,22133,12532,518066.0,490089,15.62,Current,Mutual Fund,Individual,43.0,2023-03-17,Solapur,South,HDFC Bank,Pune,East
300018,202383,1093,3742.0,7727,49658,518348.5,37666,77.6,Savings,Mutual Fund,Individual,77.0,2024-05-14,Nashik,East,HDFC Bank,Nashik,North
300019,208164,1393,4927.0,10808,9225,744621.0,473731,30.71,Business,Fixed Deposit,Individual,28.0,2024-10-11,Mumbai,North,HDFC Bank,Nashik,West
300020,203721,1375,6627.42,44084,45900,120736.0,264483,41.46,Business,Fixed Deposit,Business,52.0,2022-05-01,Kolhapur,East,HDFC Bank,Kolhapur,West
300021,209684,1325,361.0,47823,70335,331247.0,173187,-17.55,Business,Recurring Deposit,Unknown,69.0,2024-08-08,Solapur,West,HDFC Bank,Pune,North
300022,207316,1024,1570.0,18262,20828,453778.0,239635,23.83,Current,Recurring Deposit,Employee,40.0,2023-01-23,Pune,South,HDFC Bank,Nagpur,South
300023,206897,1902,1310.0,4334,54204,708168.0,351350,45.72,Savings,Fixed Deposit,Business,74.0,2024-12-24,Solapur,North,HDFC Bank,Kolhapur,East
300024,201094,1891,4938.0,2448,65447,87666.0,482601,-10.57,Savings,Recurring Deposit,Individual,69.0,2025-03-14,Kolhapur,North,HDFC Bank,Nagpur,West
300025,204007,1449,3773.0,33365,48288,386804.0,216567,27.28,Current,Recurring Deposit,Business,66.0,2024-07-14,Nashik,East,HDFC Bank,Solapur,West
300026,204487,1098,1041.0,29394,21439,570985.0,423464,19.57,Business,Fixed Deposit,Employee,30.0,2024-01-01,Nagpur,East,HDFC Bank,Mumbai,West
300027,202295,1742,2393.0,34507,49736,378289.0,378540,69.64,Savings,Fixed Deposit,Individual,21.0,2023-02-26,Mumbai,North,HDFC Bank,Nagpur,South
300028,209320,1491,4852.0,15429,71788,750710.0,103189,18.7,Business,Fixed Deposit,Employee,33.0,2024-02-16,Pune,West,HDFC Bank,Pune,South
300029,205171,1132,4578.0,30881,4032,83336.0,335733,47.84,Savings,Fixed Deposit,Employee,61.0,2024-09-21,Pune,East,HDFC Bank,Kolhapur,West
300030,202305,1366,4105.0,8971,38930,292711.0,497710,57.32,Current,Mutual Fund,Business,34.0,2023-05-27,Solapur,West,HDFC Bank,Mumbai,West
300031,205604,1652,1857.0,28139,70735,511732.0,203606,83.42,Current,Fixed Deposit,Individual,44.0,2022-03-31,Mumbai,West,HDFC Bank,Nashik,East
300032,208597,1922,2724.0,46384,14328,753235.0,485285,25.16,Business,Fixed Deposit,Employee,74.0,2022-11-24,Pune,West,HDFC Bank,Kolhapur,West
300033,201654,1452,3532.0,1352,81984,643703.0,157044,68.94,Current,Fixed Deposit,Business,33.0,2025-03-09,Nashik,West,HDFC Bank,Mumbai,East
300034,204981,1638,1413.43,23073,98769,870116.0,132502,83.12,Savings,Fixed Deposit,Employee,56.0,2024-01-06,Solapur,South,HDFC Bank,Nashik,West
300035,209779,1646,3388.0,38051,53909,518348.5,27694,22.19,Current,Fixed Deposit,Employee,19.0,2023-08-31,Mumbai,East,HDFC Bank,Mumbai,South
300036,206510,1338,4819.0,30383,56456,518661.0,388470,99.64,Business,Mutual Fund,Employee,68.0,2023-05-26,Solapur,East,HDFC Bank,Solapur,South
300037,203773,1942,1105.0,5686,91948,958979.0,428492,52.69,Current,Fixed Deposit,Employee,70.0,2022-11-17,Mumbai,North,HDFC Bank,Pune,North
300038,204445,1909,2909.0,17613,76305,346685.0,209951,-48.47,Savings,Mutual Fund,Employee,30.0,2023-02-18,Pune,North,HDFC Bank,Solapur,North
300039,206769,1581,1210.0,48004,24438,718986.0,159067,41.49,Current,Mutual Fund,Individual,72.0,2023-08-25,Pune,West,HDFC Bank,Pune,West
300040,207873,1224,389.0,1320,23464,472462.0,274775,-18.91,Savings,Mutual Fund,Business,67.0,2022-08-26,Pune,West,HDFC Bank,Nashik,North
300041,202102,1218,1011.0,19917,86047,519640.0,112598,32.53,Business,Recurring Deposit,Business,51.0,2022-08-12,Kolhapur,South,HDFC Bank,Nashik,North
300042,203852,1920,1480.0,46133,28306,597247.0,487328,-13.4,Savings,Mutual Fund,Business,21.0,2023-11-01,Pune,South,HDFC Bank,Kolhapur,North
300043,208987,1701,1747.0,47535,29241,668422.0,262052,36.21,Current,Fixed Deposit,Business,71.0,2022-08-18,Nashik,North,HDFC Bank,Nagpur,East
